year,bomrank,bomtitle,imdblink,bomlink
2004,1,Shrek 2,http://www.imdb.com/title/tt0298148/,http://www.boxofficemojo.com/movies/?id=shrek2.htm
2004,2,Spider-Man 2,http://www.imdb.com/title/tt0316654/,http://www.boxofficemojo.com/movies/?id=spiderman2.htm
2004,3,The Passion of the Christ,http://www.imdb.com/title/tt0335345/,http://www.boxofficemojo.com/movies/?id=passionofthechrist.htm
2004,4,Meet the Fockers,http://www.imdb.com/title/tt0290002/,http://www.boxofficemojo.com/movies/?id=meetthefockers.htm
2004,5,The Incredibles,http://www.imdb.com/title/tt0317705/,http://www.boxofficemojo.com/movies/?id=incredibles.htm
2004,6,Harry Potter and the Prisoner of Azkaban,http://www.imdb.com/title/tt0304141/,http://www.boxofficemojo.com/movies/?id=harrypotter3.htm
2004,7,The Day After Tomorrow,http://www.imdb.com/title/tt0319262/,http://www.boxofficemojo.com/movies/?id=dayaftertomorrow.htm
2004,8,The Bourne Supremacy,http://www.imdb.com/title/tt0372183/,http://www.boxofficemojo.com/movies/?id=bournesupremacy.htm
2004,9,National Treasure,http://www.imdb.com/title/tt0368891/,http://www.boxofficemojo.com/movies/?id=nationaltreasure.htm
2004,10,The Polar Express,http://www.imdb.com/title/tt0338348/,http://www.boxofficemojo.com/movies/?id=polarexpress.htm
2004,11,Shark Tale,http://www.imdb.com/title/tt0307453/,http://www.boxofficemojo.com/movies/?id=sharktale.htm
2004,12,"I, Robot",http://www.imdb.com/title/tt0343818/,http://www.boxofficemojo.com/movies/?id=irobot.htm
2004,13,Troy,http://www.imdb.com/title/tt0332452/,http://www.boxofficemojo.com/movies/?id=troy.htm
2004,14,Ocean's Twelve,http://www.imdb.com/title/tt0349903/,http://www.boxofficemojo.com/movies/?id=oceanstwelve.htm
2004,15,50 First Dates,http://www.imdb.com/title/tt0343660/,http://www.boxofficemojo.com/movies/?id=50firstdates.htm
2004,16,Van Helsing,http://www.imdb.com/title/tt0338526/,http://www.boxofficemojo.com/movies/?id=vanhelsing.htm
2004,17,Fahrenheit 9/11,http://www.imdb.com/title/tt0361596/,http://www.boxofficemojo.com/movies/?id=fahrenheit911.htm
2004,18,Lemony Snicket's A Series of Unfortunate Events,http://www.imdb.com/title/tt0339291/,http://www.boxofficemojo.com/movies/?id=lemonysnicket.htm
2004,19,DodgeBall: A True Underdog Story,http://www.imdb.com/title/tt0364725/,http://www.boxofficemojo.com/movies/?id=dodgeball.htm
2004,20,The Village,http://www.imdb.com/title/tt0368447/,http://www.boxofficemojo.com/movies/?id=village.htm
2004,21,The Grudge,http://www.imdb.com/title/tt0391198/,http://www.boxofficemojo.com/movies/?id=grudge.htm
2004,22,The Aviator,http://www.imdb.com/title/tt0338751/,http://www.boxofficemojo.com/movies/?id=aviator.htm
