,bomtitle,bomlink,year,genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
0,How the Grinch Stole Christmas,https://www.boxofficemojo.com/release/rl3059189249/?ref_=bo_yld_table_1,2000,"['Comedy', 'Family', 'Fantasy']",Comedy,Family,Fantasy,,,,,
1,Mission: Impossible II,https://www.boxofficemojo.com/release/rl1600292353/?ref_=bo_yld_table_2,2000,"['Action', 'Adventure', 'Thriller']",Action,Adventure,Thriller,,,,,
2,Gladiator,https://www.boxofficemojo.com/release/rl2136245761/?ref_=bo_yld_table_3,2000,"['Action', 'Adventure', 'Drama']",Action,Adventure,Drama,,,,,
3,The Perfect Storm,https://www.boxofficemojo.com/release/rl661161473/?ref_=bo_yld_table_4,2000,"['Action', 'Adventure', 'Drama', 'Thriller']",Action,Adventure,Drama,Thriller,,,,
4,Meet the Parents,https://www.boxofficemojo.com/release/rl677545473/?ref_=bo_yld_table_5,2000,"['Comedy', 'Romance']",Comedy,Romance,,,,,,
5,X-Men,https://www.boxofficemojo.com/release/rl1383761409/?ref_=bo_yld_table_6,2000,"['Action', 'Adventure', 'Sci-Fi']",Action,Adventure,Sci-Fi,,,,,
6,Scary Movie,https://www.boxofficemojo.com/release/rl4033840641/?ref_=bo_yld_table_7,2000,['Comedy'],Comedy,,,,,,,
7,What Lies Beneath,https://www.boxofficemojo.com/release/rl4084762113/?ref_=bo_yld_table_8,2000,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",Drama,Fantasy,Horror,Mystery,Thriller,,,
8,Dinosaur,https://www.boxofficemojo.com/release/rl2605680129/?ref_=bo_yld_table_9,2000,"['Adventure', 'Animation', 'Family', 'Thriller']",Adventure,Animation,Family,Thriller,,,,
9,Erin Brockovich,https://www.boxofficemojo.com/release/rl3612444161/?ref_=bo_yld_table_10,2000,"['Biography', 'Drama']",Biography,Drama,,,,,,
10,Nutty Professor II: The Klumps,https://www.boxofficemojo.com/release/rl2388428289/?ref_=bo_yld_table_11,2000,"['Comedy', 'Romance', 'Sci-Fi']",Comedy,Romance,Sci-Fi,,,,,
11,Charlie's Angels,https://www.boxofficemojo.com/release/rl608929281/?ref_=bo_yld_table_12,2000,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",Action,Adventure,Comedy,Crime,Thriller,,,
12,Big Momma's House,https://www.boxofficemojo.com/release/rl38241793/?ref_=bo_yld_table_13,2000,"['Action', 'Comedy', 'Crime']",Action,Comedy,Crime,,,,,
13,Remember the Titans,https://www.boxofficemojo.com/release/rl2892858881/?ref_=bo_yld_table_14,2000,"['Biography', 'Drama', 'Sport']",Biography,Drama,Sport,,,,,
14,The Patriot,https://www.boxofficemojo.com/release/rl3244918273/?ref_=bo_yld_table_15,2000,"['Action', 'Drama', 'History', 'War']",Action,Drama,History,War,,,,
