bomtitle,bomlink,year,login_link,imdb_idList,imdb_genre_textList,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
How the Grinch Stole Christmas,https://www.boxofficemojo.com/release/rl3059189249/?ref_=bo_yld_table_1,2000,https://pro.imdb.com/title/tt0170016?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0170016,"['Comedy', 'Family', 'Fantasy']",Comedy,Family,Fantasy,,,,,
Mission: Impossible II,https://www.boxofficemojo.com/release/rl1600292353/?ref_=bo_yld_table_2,2000,https://pro.imdb.com/title/tt0120755?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0120755,"['Action', 'Adventure', 'Thriller']",Action,Adventure,Thriller,,,,,
Gladiator,https://www.boxofficemojo.com/release/rl2136245761/?ref_=bo_yld_table_3,2000,https://pro.imdb.com/title/tt0172495?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0172495,"['Action', 'Adventure', 'Drama']",Action,Adventure,Drama,,,,,
The Perfect Storm,https://www.boxofficemojo.com/release/rl661161473/?ref_=bo_yld_table_4,2000,https://pro.imdb.com/title/tt0177971?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0177971,"['Action', 'Adventure', 'Drama', 'Thriller']",Action,Adventure,Drama,Thriller,,,,
Meet the Parents,https://www.boxofficemojo.com/release/rl677545473/?ref_=bo_yld_table_5,2000,https://pro.imdb.com/title/tt0212338?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0212338,"['Comedy', 'Romance']",Comedy,Romance,,,,,,
X-Men,https://www.boxofficemojo.com/release/rl1383761409/?ref_=bo_yld_table_6,2000,https://pro.imdb.com/title/tt0120903?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0120903,"['Action', 'Adventure', 'Sci-Fi']",Action,Adventure,Sci-Fi,,,,,
Scary Movie,https://www.boxofficemojo.com/release/rl4033840641/?ref_=bo_yld_table_7,2000,https://pro.imdb.com/title/tt0175142?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0175142,['Comedy'],Comedy,,,,,,,
What Lies Beneath,https://www.boxofficemojo.com/release/rl4084762113/?ref_=bo_yld_table_8,2000,https://pro.imdb.com/title/tt0161081?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0161081,"['Drama', 'Fantasy', 'Horror']",Drama,Fantasy,Horror,,,,,
Dinosaur,https://www.boxofficemojo.com/release/rl2605680129/?ref_=bo_yld_table_9,2000,https://pro.imdb.com/title/tt0130623?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0130623,"['Adventure', 'Animation', 'Family', 'Thriller']",Adventure,Animation,Family,Thriller,,,,
Erin Brockovich,https://www.boxofficemojo.com/release/rl3612444161/?ref_=bo_yld_table_10,2000,https://pro.imdb.com/title/tt0195685?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0195685,"['Biography', 'Drama']",Biography,Drama,,,,,,
Nutty Professor II: The Klumps,https://www.boxofficemojo.com/release/rl2388428289/?ref_=bo_yld_table_11,2000,https://pro.imdb.com/title/tt0144528?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0144528,"['Comedy', 'Romance', 'Sci-Fi']",Comedy,Romance,Sci-Fi,,,,,
Charlie's Angels,https://www.boxofficemojo.com/release/rl608929281/?ref_=bo_yld_table_12,2000,https://pro.imdb.com/title/tt0160127?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0160127,"['Action', 'Adventure', 'Comedy']",Action,Adventure,Comedy,,,,,
Big Momma's House,https://www.boxofficemojo.com/release/rl38241793/?ref_=bo_yld_table_13,2000,https://pro.imdb.com/title/tt0208003?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0208003,"['Action', 'Comedy', 'Crime']",Action,Comedy,Crime,,,,,
Remember the Titans,https://www.boxofficemojo.com/release/rl2892858881/?ref_=bo_yld_table_14,2000,https://pro.imdb.com/title/tt0210945?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0210945,"['Biography', 'Drama', 'Sport']",Biography,Drama,Sport,,,,,
The Patriot,https://www.boxofficemojo.com/release/rl3244918273/?ref_=bo_yld_table_15,2000,https://pro.imdb.com/title/tt0187393?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0187393,"['Action', 'Drama', 'History', 'War']",Action,Drama,History,War,,,,
