year,bomrank,bomtitle,imdblink,bomlink,imdb_genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10
2004,1,Shrek 2,http://www.imdb.com/title/tt0298148/,http://www.boxofficemojo.com/movies/?id=shrek2.htm,"['Animation', 'Adventure', 'Comedy', ' Animation', ' Adventure', ' Comedy', ' Family', ' Fantasy', ' Romance']",Animation,Adventure,Comedy, Animation, Adventure, Comedy, Family, Fantasy, Romance,,
2004,2,Spider-Man 2,http://www.imdb.com/title/tt0316654/,http://www.boxofficemojo.com/movies/?id=spiderman2.htm,"['Action', 'Adventure', 'Sci-Fi', ' Action', ' Adventure', ' Sci-Fi']",Action,Adventure,Sci-Fi, Action, Adventure, Sci-Fi,,,,,
2004,3,The Passion of the Christ,http://www.imdb.com/title/tt0335345/,http://www.boxofficemojo.com/movies/?id=passionofthechrist.htm,"['Drama', ' Drama']",Drama, Drama,,,,,,,,,
2004,4,Meet the Fockers,http://www.imdb.com/title/tt0290002/,http://www.boxofficemojo.com/movies/?id=meetthefockers.htm,"['Comedy', 'Romance', ' Comedy', ' Romance']",Comedy,Romance, Comedy, Romance,,,,,,,
2004,5,The Incredibles,http://www.imdb.com/title/tt0317705/,http://www.boxofficemojo.com/movies/?id=incredibles.htm,"['Animation', 'Action', 'Adventure', ' Animation', ' Action', ' Adventure', ' Family']",Animation,Action,Adventure, Animation, Action, Adventure, Family,,,,
2004,6,Harry Potter and the Prisoner of Azkaban,http://www.imdb.com/title/tt0304141/,http://www.boxofficemojo.com/movies/?id=harrypotter3.htm,"['Adventure', 'Family', 'Fantasy', ' Adventure', ' Family', ' Fantasy', ' Mystery']",Adventure,Family,Fantasy, Adventure, Family, Fantasy, Mystery,,,,
2004,7,The Day After Tomorrow,http://www.imdb.com/title/tt0319262/,http://www.boxofficemojo.com/movies/?id=dayaftertomorrow.htm,"['Action', 'Adventure', 'Sci-Fi', ' Action', ' Adventure', ' Sci-Fi', ' Thriller']",Action,Adventure,Sci-Fi, Action, Adventure, Sci-Fi, Thriller,,,,
2004,8,The Bourne Supremacy,http://www.imdb.com/title/tt0372183/,http://www.boxofficemojo.com/movies/?id=bournesupremacy.htm,"['Action', 'Mystery', 'Thriller', ' Action', ' Mystery', ' Thriller']",Action,Mystery,Thriller, Action, Mystery, Thriller,,,,,
2004,9,National Treasure,http://www.imdb.com/title/tt0368891/,http://www.boxofficemojo.com/movies/?id=nationaltreasure.htm,"['Action', 'Adventure', 'Mystery', ' Action', ' Adventure', ' Mystery', ' Thriller']",Action,Adventure,Mystery, Action, Adventure, Mystery, Thriller,,,,
2004,10,The Polar Express,http://www.imdb.com/title/tt0338348/,http://www.boxofficemojo.com/movies/?id=polarexpress.htm,"['Animation', 'Adventure', 'Comedy', ' Animation', ' Adventure', ' Comedy', ' Family', ' Fantasy', ' Musical']",Animation,Adventure,Comedy, Animation, Adventure, Comedy, Family, Fantasy, Musical,,
