,Unnamed: 0,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics,year_week_average_gross,year_week_average_totalmovies
0,0,2013,151,The Wizard of Oz (3D/IMAX),http://www.boxofficemojo.com/movies/?id=wizardofozimax.htm,5633202,,101.0,,1,1,0,0,1.0,http://www.imdb.com/title/tt0032138/,WB,5633202,318,3093998.0,318.0,0.0,1.0,matched (3),1.0,24.0,matched (3),4.0,matched (3),100.0,0.0,8.0,3.1889998999999998,matched (3),The Wizard of Oz,0.0,0.0,0.0,0.0,0,2013-09-20,2013-10-17,4,160765568.0,94.333336
1,1,2012,191,Singin' In the Rain (2012 re-release),http://www.boxofficemojo.com/movies/?id=singinintherain2012.htm,1608925,,103.0,,1,1,0,0,1.0,http://www.imdb.com/title/tt0045152/,WB,1608925,561,587211.0,561.0,0.0,1.0,matched (3),1.0,19.0,matched (3),3.0,matched (3),99.0,45.0,8.300000200000001,3.0212901000000003,matched (3),Singin' in the Rain,0.0,0.0,0.0,0.0,1,2012-07-12,2012-08-26,10,160765568.0,94.333336
2,2,2012,166,Raiders of the Lost Ark (IMAX),http://www.boxofficemojo.com/movies/?id=raidersimax.htm,3125613,,115.0,,1,0,0,0,1.0,http://www.imdb.com/title/tt0082971/,Par.,3125613,322,1673731.0,267.0,0.0,1.0,matched (3),1.0,74.0,matched (3),2.0,matched (3),85.0,485.0,8.5,2.0380001,matched (3),Raiders of the Lost Ark,0.0,0.0,0.0,0.0,0,2012-09-07,2012-10-04,10,160765568.0,94.333336
3,3,2014,157,Ghostbusters (30th Anniversary re-release),http://www.boxofficemojo.com/movies/?id=ghostbusters2014.htm,3580343,1892000.0,,,1,0,0,0,1.0,http://www.imdb.com/title/tt0087332/,Sony,3580343,784,1756513.0,784.0,0.0,1.0,matched (3),1.0,27.0,matched (3),4.0,matched (3),71.0,162.75,7.8000002,2.2205999,matched (3),Ghostbusters,0.0,0.0,0.0,0.0,1,2014-08-29,2014-09-18,8,160765568.0,94.333336
4,4,2015,194,Back to the Future Day,http://www.boxofficemojo.com/movies/?id=backtothefutureday.htm,1650000,3200000.0,,,0,0,0,0,1.0,http://www.imdb.com/title/tt0088763/,UHE,1650000,1815,,,0.0,1.0,matched (3),1.0,71.0,matched (3),3.0,matched (3),87.0,347.10001,8.5,1.96425,matched (3),Back to the Future,0.0,0.0,0.0,0.0,1,2015-10-21,2015-10-21,10,160765568.0,94.333336
5,5,2013,163,Top Gun 3D,http://www.boxofficemojo.com/movies/?id=topgun3d.htm,3018873,5300000.0,110.0,,1,0,0,0,1.0,http://www.imdb.com/title/tt0092099/,Par.,3018873,300,1965737.0,300.0,0.0,1.0,matched (3),1.0,24.0,matched (3),3.0,matched (3),50.0,388.79999,6.900000099999999,3.1587901,matched (3),Top Gun,0.0,0.0,0.0,0.0,0,2013-02-08,2013-02-21,10,160765568.0,94.333336
6,6,2012,71,Beauty and the Beast (3D),http://www.boxofficemojo.com/movies/?id=beautyandthebeast3d.htm,47617067,14410056.0,84.0,,1,1,0,0,1.0,http://www.imdb.com/title/tt0101414/,BV,47617067,2625,17751905.0,2625.0,0.0,1.0,matched (3),1.0,93.0,matched (3),5.0,matched (3),95.0,47.400002,8.0,2.4990001,matched (3),Beauty and the Beast,0.0,0.0,0.0,0.0,1,2012-01-13,2012-05-03,10,160765568.0,94.333336
7,7,2013,72,Jurassic Park 3D,http://www.boxofficemojo.com/movies/?id=jurassicpark3d.htm,45385935,71100000.0,127.0,10000000.0,1,0,0,0,1.0,http://www.imdb.com/title/tt0107290/,Uni.,45385935,2778,18620145.0,2771.0,0.0,1.0,matched (3),1.0,74.0,matched (3),3.0,matched (3),68.0,414.0,8.1000004,2.1612101000000004,matched (3),Jurassic Park,0.0,0.0,0.0,0.0,0,2013-04-05,2013-05-23,10,160765568.0,94.333336
8,8,2006,159,Tim Burton's The Nightmare Before Christmas in 3-D (2006),http://www.boxofficemojo.com/movies/?id=3d06.htm,8700869,2410396.0,76.0,,1,0,0,0,,http://www.imdb.com/title/tt0107688/,BV,8700869,168,3277004.0,168.0,0.0,1.0,matched (3),1.0,25.0,matched (3),4.0,matched (3),82.0,139.8,8.0,2.8089999999999997,matched (3),The Nightmare Before Christmas,0.0,0.0,0.0,0.0,0,2006-10-20,2007-01-04,10,160765568.0,94.333336
9,9,2011,33,The Lion King (in 3D),http://www.boxofficemojo.com/movies/?id=lionking3d.htm,94242001,91300000.0,89.0,,1,1,0,0,1.0,http://www.imdb.com/title/tt0110357/,BV,94242001,2340,30151614.0,2330.0,0.0,1.0,matched (3),1.0,97.0,matched (3),5.0,matched (3),83.0,183.2,8.5,2.1577498999999998,matched (3),The Lion King,0.0,0.0,0.0,0.0,1,2011-09-16,2012-01-12,10,160765568.0,94.333336
10,10,2012,56,Titanic 3D,http://www.boxofficemojo.com/movies/?id=titanic3d.htm,57884114,285666656.0,194.0,18000000.0,1,0,0,0,1.0,http://www.imdb.com/title/tt0120338/,Par.,57884114,3674,17285453.0,2674.0,0.0,1.0,matched (3),1.0,318.0,matched (3),2.0,matched (3),75.0,476.89999000000006,7.8000002,4.1266398,matched (3),Titanic,0.0,0.0,0.0,0.0,0,2012-04-04,2012-06-07,10,160765568.0,94.333336
11,11,2005,13,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,154696080,175883639.0,123.0,100000000.0,1,0,0,0,,http://www.imdb.com/title/tt0120667/,Fox,154696080,3619,56061504.0,3602.0,0.0,2.0,matched (3),0.0,19.0,matched (3),3.0,matched (3),40.0,166.2,5.6999998,3.3288900999999997,matched (3),Fantastic Four,0.0,1.0,1.0,1.0,1,2005-07-08,2005-12-29,10,160765568.0,94.333336
12,12,2012,78,Star Wars: Episode I - The Phantom Menace (in 3D),http://www.boxofficemojo.com/movies/?id=starwars3d.htm,43456382,59283211.0,133.0,,1,0,0,0,1.0,http://www.imdb.com/title/tt0120915/,Fox,43456382,2655,22469932.0,2655.0,0.0,1.0,matched (3),1.0,152.0,matched (3),4.0,matched (3),51.0,363.10001,6.5,4.3004999,matched (3),Star Wars: Episode I - The Phantom Menace,0.0,0.0,0.0,0.0,0,2012-02-10,2012-05-28,10,160765568.0,94.333336
13,13,2005,51,Tim Burton's Corpse Bride,http://www.boxofficemojo.com/movies/?id=corpsebride.htm,53359111,63835950.0,74.0,,1,0,0,0,,http://www.imdb.com/title/tt0121164/,WB,53359111,3204,388166.0,5.0,0.0,2.0,matched (3),1.0,56.0,matched (3),6.0,matched (3),83.0,163.2,7.400000099999999,2.434,matched (3),Corpse Bride,0.0,0.0,0.0,0.0,1,2005-09-16,2005-12-22,10,160765568.0,94.333336
14,14,2005,1,Star Wars: Episode III - Revenge of the Sith,http://www.boxofficemojo.com/movies/?id=starwars3.htm,380270577,468484191.0,146.0,113000000.0,1,0,0,0,,http://www.imdb.com/title/tt0121766/,Fox,380270577,3663,108435841.0,3661.0,0.0,1.0,matched (3),1.0,130.0,matched (3),4.0,matched (3),68.0,373.20001,7.599999900000001,3.6619998999999996,matched (3),Star Wars: Episode III - Revenge of the Sith,0.0,0.0,0.0,0.0,0,2005-05-19,2005-10-20,10,160765568.0,94.333336
15,15,2004,49,Hellboy,http://www.boxofficemojo.com/movies/?id=hellboy.htm,59623958,39695029.0,112.0,66000000.0,1,0,0,0,,http://www.imdb.com/title/tt0167190/,SonR,59623958,3043,23172440.0,3028.0,0.0,1.0,matched (3),0.0,40.0,matched (3),4.0,matched (3),72.0,217.7,6.900000099999999,2.4875901000000002,matched (3),Hellboy,0.0,1.0,1.0,0.0,0,2004-04-02,2004-07-01,10,160765568.0,94.333336
16,16,2004,151,Thunderbirds,http://www.boxofficemojo.com/movies/?id=thunderbirds.htm,6880917,21402720.0,95.0,57000000.0,1,0,0,0,,http://www.imdb.com/title/tt0167456/,Uni.,6880917,2062,2766810.0,2057.0,1.0,3.0,matched (3),0.0,1.0,matched (3),5.0,matched (3),36.0,416.89999,4.3000002,6.3355999,matched (3),Thunderbirds,,,,,0,2004-07-30,2004-08-26,10,160765568.0,94.333336
17,17,2012,94,"Monsters, Inc. (3D)",http://www.boxofficemojo.com/movies/?id=monstersinc3d.htm,34043006,3400000.0,90.0,,1,1,0,0,1.0,http://www.imdb.com/title/tt0198781/,BV,34043006,2618,4774686.0,2618.0,0.0,1.0,matched (3),1.0,94.0,matched (3),5.0,matched (3),78.0,209.5,8.1000004,1.88278,matched (3),"Monsters, Inc.",0.0,0.0,0.0,0.0,1,2012-12-19,2013-05-02,10,160765568.0,94.333336
18,18,2008,98,The Bank Job,http://www.boxofficemojo.com/movies/?id=bankjob.htm,30060660,34762136.0,110.0,,0,0,1,0,,http://www.imdb.com/title/tt0200465/,LGF,30060660,1613,5935256.0,1603.0,1.0,3.0,matched (3),0.0,2.0,matched (3),4.0,matched (3),69.0,79.599998,7.1999998,1.8275598999999998,matched (3),The Bank Job,0.0,0.0,0.0,0.0,0,2008-03-07,2008-06-05,10,160765568.0,94.333336
19,19,2004,72,Exorcist: The Beginning,http://www.boxofficemojo.com/movies/?id=exorcist4.htm,41821986,36178600.0,114.0,80000000.0,1,0,1,0,,http://www.imdb.com/title/tt0204313/,WB,41821986,2813,18054001.0,2803.0,0.0,1.0,matched (3),0.0,5.0,matched (3),3.0,matched (3),30.0,162.5,5.0999999,4.3268099,matched (3),Exorcist: The Beginning,0.0,0.0,0.0,0.0,0,2004-08-20,2004-11-11,10,160765568.0,94.333336
20,20,2006,89,Children of Men,http://www.boxofficemojo.com/movies/?id=childrenofmen.htm,35552383,34407368.0,109.0,76000000.0,1,0,1,0,,http://www.imdb.com/title/tt0206634/,Uni.,35552383,1524,501003.0,16.0,0.0,2.0,matched (3),1.0,256.0,matched (3),3.0,matched (3),84.0,117.0,7.900000099999999,2.9828,matched (3),Children of Men,0.0,1.0,1.0,0.0,0,2006-12-25,2007-03-15,10,160765568.0,94.333336
21,21,2007,129,Awake,http://www.boxofficemojo.com/movies/?id=awake.htm,14377198,18308481.0,84.0,8600000.0,0,0,1,0,,http://www.imdb.com/title/tt0211933/,MGM/W,14377198,2023,5856872.0,2002.0,0.0,1.0,matched (3),0.0,7.0,matched (3),3.0,matched (3),33.0,391.60001,6.5,3.3794998999999994,matched (3),Awake,0.0,0.0,0.0,0.0,1,2007-11-30,2008-03-06,10,160765568.0,94.333336
22,22,2005,198,2046,http://www.boxofficemojo.com/movies/?id=2046.htm,1444588,18025651.0,129.0,12000000.0,1,0,1,0,,http://www.imdb.com/title/tt0212712/,SPC,1444588,61,113074.0,4.0,1.0,2.0,matched (3),1.0,130.0,matched (3),3.0,matched (3),78.0,276.5,7.5,3.4059998999999994,matched (3),2046,,,,,0,2005-08-05,2005-12-08,10,160765568.0,94.333336
23,23,2006,191,Water,http://www.boxofficemojo.com/movies/?id=water06.htm,3278815,4893243.0,114.0,,1,0,1,0,,http://www.imdb.com/title/tt0240200/,FoxS,3278815,91,56280.0,5.0,0.0,2.0,matched (3),1.0,31.0,matched (3),2.0,matched (3),77.0,161.89999,7.8000002,3.2778398999999996,matched (3),Water,,,,,0,2006-04-28,2006-10-15,10,160765568.0,94.333336
24,24,2004,120,Vanity Fair,http://www.boxofficemojo.com/movies/?id=vanityfair.htm,16136476,3326709.0,140.0,23000000.0,0,0,0,0,,http://www.imdb.com/title/tt0241025/,Focus,16136476,1054,4833900.0,1051.0,0.0,3.0,matched (3),1.0,8.0,matched (3),1.0,matched (3),53.0,136.5,6.1999998,3.7656400000000003,matched (3),Vanity Fair,1.0,1.0,1.0,0.0,0,2004-09-01,2004-11-11,10,160765568.0,94.333336
25,25,2004,137,Surviving Christmas,http://www.boxofficemojo.com/movies/?id=survivingchristmas.htm,11663156,3457644.0,92.0,,0,0,0,0,,http://www.imdb.com/title/tt0252028/,DW,11663156,2755,4441356.0,2750.0,0.0,1.0,matched (3),0.0,8.0,matched (3),2.0,matched (3),19.0,426.5,5.4000001,4.806799900000001,matched (3),Surviving Christmas,0.0,0.0,0.0,0.0,0,2004-10-22,2004-11-23,10,160765568.0,94.333336
26,26,2005,117,Cursed,http://www.boxofficemojo.com/movies/?id=cursed.htm,19297522,10324200.0,96.0,38000000.0,0,0,0,0,,http://www.imdb.com/title/tt0257516/,Dim.,19297522,2805,9633085.0,2805.0,0.0,2.0,matched (3),0.0,1.0,matched (3),2.0,matched (3),31.0,186.60001,5.0,4.8210001,matched (3),Cursed,0.0,0.0,0.0,0.0,0,2005-02-25,2005-05-13,10,160765568.0,94.333336
