,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics
0,2013,151,The Wizard of Oz (3D/IMAX),http://www.boxofficemojo.com/movies/?id=wizardofozimax.htm,5633202,,101,,1,1,0,0,1,http://www.imdb.com/title/tt0032138/,WB,5633202,318,3093998,318,0,1,matched (3),1,24,matched (3),4,matched (3),100,0,8,3.1889999,matched (3),The Wizard of Oz,0,0,0,0,0,"September 20, 2013","October 17, 2013",4
1,2012,191,Singin' In the Rain (2012 re-release),http://www.boxofficemojo.com/movies/?id=singinintherain2012.htm,1608925,,103,,1,1,0,0,1,http://www.imdb.com/title/tt0045152/,WB,1608925,561,587211,561,0,1,matched (3),1,19,matched (3),3,matched (3),99,45,8.3000002,3.0212901,matched (3),Singin' in the Rain,0,0,0,0,1,"July 12, 2012","August 26, 2012",10
2,2012,166,Raiders of the Lost Ark (IMAX),http://www.boxofficemojo.com/movies/?id=raidersimax.htm,3125613,,115,,1,0,0,0,1,http://www.imdb.com/title/tt0082971/,Par.,3125613,322,1673731,267,0,1,matched (3),1,74,matched (3),2,matched (3),85,485,8.5,2.0380001,matched (3),Raiders of the Lost Ark,0,0,0,0,0,"September 7, 2012","October 4, 2012",10
3,2014,157,Ghostbusters (30th Anniversary re-release),http://www.boxofficemojo.com/movies/?id=ghostbusters2014.htm,3580343,1892000,,,1,0,0,0,1,http://www.imdb.com/title/tt0087332/,Sony,3580343,784,1756513,784,0,1,matched (3),1,27,matched (3),4,matched (3),71,162.75,7.8000002,2.2205999,matched (3),Ghostbusters,0,0,0,0,1,"August 29, 2014","September 18, 2014",8
4,2015,194,Back to the Future Day,http://www.boxofficemojo.com/movies/?id=backtothefutureday.htm,1650000,3200000,,,0,0,0,0,1,http://www.imdb.com/title/tt0088763/,UHE,1650000,1815,,,0,1,matched (3),1,71,matched (3),3,matched (3),87,347.10001,8.5,1.96425,matched (3),Back to the Future,0,0,0,0,1,"October 21, 2015","October 21, 2015",10
5,2013,163,Top Gun 3D,http://www.boxofficemojo.com/movies/?id=topgun3d.htm,3018873,5300000,110,,1,0,0,0,1,http://www.imdb.com/title/tt0092099/,Par.,3018873,300,1965737,300,0,1,matched (3),1,24,matched (3),3,matched (3),50,388.79999,6.9000001,3.1587901,matched (3),Top Gun,0,0,0,0,0,"February 8, 2013","February 21, 2013",10
6,2012,71,Beauty and the Beast (3D),http://www.boxofficemojo.com/movies/?id=beautyandthebeast3d.htm,47617067,14410056,84,,1,1,0,0,1,http://www.imdb.com/title/tt0101414/,BV,47617067,2625,17751905,2625,0,1,matched (3),1,93,matched (3),5,matched (3),95,47.400002,8,2.4990001,matched (3),Beauty and the Beast,0,0,0,0,1,"January 13, 2012","May 3, 2012",10
7,2013,72,Jurassic Park 3D,http://www.boxofficemojo.com/movies/?id=jurassicpark3d.htm,45385935,71100000,127,10000000,1,0,0,0,1,http://www.imdb.com/title/tt0107290/,Uni.,45385935,2778,18620145,2771,0,1,matched (3),1,74,matched (3),3,matched (3),68,414,8.1000004,2.1612101,matched (3),Jurassic Park,0,0,0,0,0,"April 5, 2013","May 23, 2013",10
8,2006,159,Tim Burton's The Nightmare Before Christmas in 3-D (2006),http://www.boxofficemojo.com/movies/?id=3d06.htm,8700869,2410396,76,,1,0,0,0,,http://www.imdb.com/title/tt0107688/,BV,8700869,168,3277004,168,0,1,matched (3),1,25,matched (3),4,matched (3),82,139.8,8,2.809,matched (3),The Nightmare Before Christmas,0,0,0,0,0,"October 20, 2006","January 4, 2007",10
9,2011,33,The Lion King (in 3D),http://www.boxofficemojo.com/movies/?id=lionking3d.htm,94242001,91300000,89,,1,1,0,0,1,http://www.imdb.com/title/tt0110357/,BV,94242001,2340,30151614,2330,0,1,matched (3),1,97,matched (3),5,matched (3),83,183.2,8.5,2.1577499,matched (3),The Lion King,0,0,0,0,1,"September 16, 2011","January 12, 2012",10
10,2012,56,Titanic 3D,http://www.boxofficemojo.com/movies/?id=titanic3d.htm,57884114,285666656,194,18000000,1,0,0,0,1,http://www.imdb.com/title/tt0120338/,Par.,57884114,3674,17285453,2674,0,1,matched (3),1,318,matched (3),2,matched (3),75,476.89999,7.8000002,4.1266398,matched (3),Titanic,0,0,0,0,0,"April 4, 2012","June 7, 2012",10
11,2005,13,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,154696080,175883639,123,100000000,1,0,0,0,,http://www.imdb.com/title/tt0120667/,Fox,154696080,3619,56061504,3602,0,2,matched (3),0,19,matched (3),3,matched (3),40,166.2,5.6999998,3.3288901,matched (3),Fantastic Four,0,1,1,1,1,"July 8, 2005","December 29, 2005",10
12,2012,78,Star Wars: Episode I - The Phantom Menace (in 3D),http://www.boxofficemojo.com/movies/?id=starwars3d.htm,43456382,59283211,133,,1,0,0,0,1,http://www.imdb.com/title/tt0120915/,Fox,43456382,2655,22469932,2655,0,1,matched (3),1,152,matched (3),4,matched (3),51,363.10001,6.5,4.3004999,matched (3),Star Wars: Episode I - The Phantom Menace,0,0,0,0,0,"February 10, 2012","May 28, 2012",10
13,2005,51,Tim Burton's Corpse Bride,http://www.boxofficemojo.com/movies/?id=corpsebride.htm,53359111,63835950,74,,1,0,0,0,,http://www.imdb.com/title/tt0121164/,WB,53359111,3204,388166,5,0,2,matched (3),1,56,matched (3),6,matched (3),83,163.2,7.4000001,2.434,matched (3),Corpse Bride,0,0,0,0,1,"September 16, 2005","December 22, 2005",10
14,2005,1,Star Wars: Episode III - Revenge of the Sith,http://www.boxofficemojo.com/movies/?id=starwars3.htm,380270577,468484191,146,113000000,1,0,0,0,,http://www.imdb.com/title/tt0121766/,Fox,380270577,3663,108435841,3661,0,1,matched (3),1,130,matched (3),4,matched (3),68,373.20001,7.5999999,3.6619999,matched (3),Star Wars: Episode III - Revenge of the Sith,0,0,0,0,0,"May 19, 2005","October 20, 2005",10
15,2004,49,Hellboy,http://www.boxofficemojo.com/movies/?id=hellboy.htm,59623958,39695029,112,66000000,1,0,0,0,,http://www.imdb.com/title/tt0167190/,SonR,59623958,3043,23172440,3028,0,1,matched (3),0,40,matched (3),4,matched (3),72,217.7,6.9000001,2.4875901,matched (3),Hellboy,0,1,1,0,0,"April 2, 2004","July 1, 2004",10
16,2004,151,Thunderbirds,http://www.boxofficemojo.com/movies/?id=thunderbirds.htm,6880917,21402720,95,57000000,1,0,0,0,,http://www.imdb.com/title/tt0167456/,Uni.,6880917,2062,2766810,2057,1,3,matched (3),0,1,matched (3),5,matched (3),36,416.89999,4.3000002,6.3355999,matched (3),Thunderbirds,,,,,0,"July 30, 2004","August 26, 2004",10
