startdate,enddate,year_week_average_gross,year_week_average_totalmovies
2004-01-09 00:00:00,2004-01-15 00:00:00,160765568,94.333336
2004-01-16 00:00:00,2004-01-22 00:00:00,151226464,96
2004-01-23 00:00:00,2004-01-29 00:00:00,147786000,97.666664
2004-01-30 00:00:00,2004-02-05 00:00:00,137958368,97.555557
2004-02-06 00:00:00,2004-02-12 00:00:00,152388176,98.888885
2004-02-13 00:00:00,2004-02-19 00:00:00,157852624,101.44444
2004-02-20 00:00:00,2004-02-26 00:00:00,163976480,103.22222
2004-02-27 00:00:00,2004-03-04 00:00:00,154801472,103.33334
2004-03-05 00:00:00,2004-03-11 00:00:00,158777712,103.44444
2004-03-12 00:00:00,2004-03-18 00:00:00,157892640,105.44444
2004-03-19 00:00:00,2004-03-25 00:00:00,158055088,108.55556
2004-03-26 00:00:00,2004-04-01 00:00:00,154283632,110.11111
2004-04-02 00:00:00,2004-04-08 00:00:00,149122336,112.11111
2004-04-09 00:00:00,2004-04-15 00:00:00,142763936,114.33334
2004-04-16 00:00:00,2004-04-22 00:00:00,132514608,119.44445
2004-04-23 00:00:00,2004-04-29 00:00:00,144811904,121.55556
2004-04-30 00:00:00,2004-05-06 00:00:00,155855744,123.55556
2004-05-07 00:00:00,2004-05-13 00:00:00,184611664,123.33334
2004-05-14 00:00:00,2004-05-20 00:00:00,203420560,123.44444
2004-05-21 00:00:00,2004-05-27 00:00:00,224869952,121.66666
2004-05-28 00:00:00,2004-06-03 00:00:00,228919296,120
2004-06-04 00:00:00,2004-06-10 00:00:00,223302608,119.11111
2004-06-11 00:00:00,2004-06-17 00:00:00,219953152,117.66666
2004-06-18 00:00:00,2004-06-24 00:00:00,235514208,117.22222
2004-06-25 00:00:00,2004-07-01 00:00:00,247339856,115
2004-07-02 00:00:00,2004-07-08 00:00:00,246480640,115.11111
2004-07-09 00:00:00,2004-07-15 00:00:00,231308976,115.88889
2004-07-16 00:00:00,2004-07-22 00:00:00,224447216,119.77778
2004-07-23 00:00:00,2004-07-29 00:00:00,228780640,121.55556
2004-07-30 00:00:00,2004-08-05 00:00:00,223764112,122.44444
2004-08-06 00:00:00,2004-08-12 00:00:00,209637408,122.77778
2004-08-13 00:00:00,2004-08-19 00:00:00,179143200,125.22222
2004-08-20 00:00:00,2004-08-26 00:00:00,158923392,128.33333
2004-08-27 00:00:00,2004-09-02 00:00:00,130701776,130.77777
2004-09-03 00:00:00,2004-09-09 00:00:00,118017400,133.33334
2004-09-10 00:00:00,2004-09-16 00:00:00,108359848,135.88889
2004-09-17 00:00:00,2004-09-23 00:00:00,110652584,140.77779
2004-09-24 00:00:00,2004-09-30 00:00:00,120106472,142.33334
2004-10-01 00:00:00,2004-10-07 00:00:00,130995600,144.88889
2004-10-08 00:00:00,2004-10-14 00:00:00,136419184,144.33333
2004-10-15 00:00:00,2004-10-21 00:00:00,139732976,146.55556
2004-10-22 00:00:00,2004-10-28 00:00:00,142007952,144.22221
2004-10-29 00:00:00,2004-11-04 00:00:00,165352096,140.33333
2004-11-05 00:00:00,2004-11-11 00:00:00,178085136,134.66667
2004-11-12 00:00:00,2004-11-18 00:00:00,206163136,130.55556
2004-11-19 00:00:00,2004-11-25 00:00:00,201450336,127.11111
2004-11-26 00:00:00,2004-12-02 00:00:00,178946464,123.77778
2004-12-03 00:00:00,2004-12-09 00:00:00,154102944,121.77778
2004-12-10 00:00:00,2004-12-16 00:00:00,176730976,117.66666
2004-12-17 00:00:00,2004-12-23 00:00:00,248951904,113.44444
2004-12-24 00:00:00,2004-12-30 00:00:00,251286048,109.66666
2005-01-07 00:00:00,2005-01-13 00:00:00,219854144,107.77778
2005-01-14 00:00:00,2005-01-20 00:00:00,160554224,111.11111
2005-01-21 00:00:00,2005-01-27 00:00:00,150854272,113.66666
2005-01-28 00:00:00,2005-02-03 00:00:00,141840192,117.44444
2005-02-04 00:00:00,2005-02-10 00:00:00,139978064,117.55556
2005-02-11 00:00:00,2005-02-17 00:00:00,154882560,120.22222
2005-02-18 00:00:00,2005-02-24 00:00:00,161714768,122.88889
2005-02-25 00:00:00,2005-03-03 00:00:00,167185600,124.22222
2005-03-04 00:00:00,2005-03-10 00:00:00,160170848,124.22222
2005-03-11 00:00:00,2005-03-17 00:00:00,160757216,125
2005-03-18 00:00:00,2005-03-24 00:00:00,153586448,128.33333
2005-03-25 00:00:00,2005-03-31 00:00:00,146055632,131.44444
2005-04-01 00:00:00,2005-04-07 00:00:00,140986016,132.88889
2005-04-08 00:00:00,2005-04-14 00:00:00,138207072,134.11111
2005-04-15 00:00:00,2005-04-21 00:00:00,136537824,135.44444
2005-04-22 00:00:00,2005-04-28 00:00:00,129688272,140.33334
2005-04-29 00:00:00,2005-05-05 00:00:00,132593672,142.66667
2005-05-06 00:00:00,2005-05-12 00:00:00,143886096,145.22221
2005-05-13 00:00:00,2005-05-19 00:00:00,171793248,144.55556
2005-05-20 00:00:00,2005-05-26 00:00:00,206526064,142.55556
2005-05-27 00:00:00,2005-06-02 00:00:00,230154080,138.11111
2005-06-03 00:00:00,2005-06-09 00:00:00,241788736,135.44444
2005-06-10 00:00:00,2005-06-16 00:00:00,227956880,133.88889
2005-06-17 00:00:00,2005-06-23 00:00:00,221859680,133.22223
2005-06-24 00:00:00,2005-06-30 00:00:00,226205072,131.11111
2005-07-01 00:00:00,2005-07-07 00:00:00,240572384,128.11111
2005-07-08 00:00:00,2005-07-14 00:00:00,245583552,125.44444
2005-07-15 00:00:00,2005-07-21 00:00:00,238022240,124.11111
2005-07-22 00:00:00,2005-07-28 00:00:00,228180800,125.77778
2005-07-29 00:00:00,2005-08-04 00:00:00,220342656,126.55556
2005-08-05 00:00:00,2005-08-11 00:00:00,207772496,126.44445
2005-08-12 00:00:00,2005-08-18 00:00:00,197665904,124.88889
2005-08-19 00:00:00,2005-08-25 00:00:00,176402944,126.33334
2005-08-26 00:00:00,2005-09-01 00:00:00,161013952,129.11111
2005-09-02 00:00:00,2005-09-08 00:00:00,133911768,132.77777
2005-09-09 00:00:00,2005-09-15 00:00:00,120052872,135.33334
2005-09-16 00:00:00,2005-09-22 00:00:00,112002328,137.66667
2005-09-23 00:00:00,2005-09-29 00:00:00,111590688,142
2005-09-30 00:00:00,2005-10-06 00:00:00,121509616,144.11111
2005-10-07 00:00:00,2005-10-13 00:00:00,126550024,146.22221
2005-10-14 00:00:00,2005-10-20 00:00:00,133014744,145.77777
2005-10-21 00:00:00,2005-10-27 00:00:00,135616528,146.88889
2005-10-28 00:00:00,2005-11-03 00:00:00,143877888,144.77777
2005-11-04 00:00:00,2005-11-10 00:00:00,163569632,142.11111
2005-11-11 00:00:00,2005-11-17 00:00:00,184760032,137.77779
2005-11-18 00:00:00,2005-11-24 00:00:00,204807824,132.88889
2005-11-25 00:00:00,2005-12-01 00:00:00,196762752,129.11111
2005-12-02 00:00:00,2005-12-08 00:00:00,173704384,125.77778
2005-12-09 00:00:00,2005-12-15 00:00:00,158837920,123.11111
2005-12-16 00:00:00,2005-12-22 00:00:00,191482688,114.88889
2005-12-23 00:00:00,2005-12-29 00:00:00,245135536,107
2005-12-30 00:00:00,2006-01-05 00:00:00,242003392,102.22222
2006-01-06 00:00:00,2006-01-12 00:00:00,211526256,102.11111
2006-01-13 00:00:00,2006-01-19 00:00:00,160613520,105.44444
