,Columns are already created in the csv file at the rightest side,imdbcrewcastlink,year,imdbfilmtitle,role,imdbfilmlink,bomtitle,bomlink,starpower-director,name_id,releasedate,prior10weeksDate
0,Victor Fleming,http://www.imdb.com/name/nm0281808/,1939,The Wizard of Oz,Director,http://www.imdb.com/title/tt0032138/,The Wizard of Oz (3D/IMAX),http://www.boxofficemojo.com/movies/?id=wizardofozimax.htm,15178,nm0281808,9/20/2013,7/12/2013
1,Gene Kelly,http://www.imdb.com/name/nm0000037/,1952,Singin' in the Rain,Director,http://www.imdb.com/title/tt0045152/,Singin' In the Rain (2012 re-release),http://www.boxofficemojo.com/movies/?id=singinintherain2012.htm,2609,nm0000037,7/12/2012,5/3/2012
2,Stanley Donen,http://www.imdb.com/name/nm0002045/,1952,Singin' in the Rain,Director,http://www.imdb.com/title/tt0045152/,Singin' In the Rain (2012 re-release),http://www.boxofficemojo.com/movies/?id=singinintherain2012.htm,11546,nm0002045,7/12/2012,5/3/2012
3,Steven Spielberg,http://www.imdb.com/name/nm0000229/,1981,Raiders of the Lost Ark,Director,http://www.imdb.com/title/tt0082971/,Raiders of the Lost Ark (IMAX),http://www.boxofficemojo.com/movies/?id=raidersimax.htm,268,nm0000229,9/7/2012,6/29/2012
4,Ivan Reitman,http://www.imdb.com/name/nm0718645/,1984,Ghostbusters,Director,http://www.imdb.com/title/tt0087332/,Ghostbusters (30th Anniversary re-release),http://www.boxofficemojo.com/movies/?id=ghostbusters2014.htm,4959,nm0718645,8/29/2014,6/20/2014
5,Robert Zemeckis,http://www.imdb.com/name/nm0000709/,1985,Back to the Future,Director,http://www.imdb.com/title/tt0088763/,Back to the Future Day,http://www.boxofficemojo.com/movies/?id=backtothefutureday.htm,2520,nm0000709,10/21/2015,8/12/2015
6,Tony Scott,http://www.imdb.com/name/nm0001716/,1986,Top Gun,Director,http://www.imdb.com/title/tt0092099/,Top Gun 3D,http://www.boxofficemojo.com/movies/?id=topgun3d.htm,1919,nm0001716,2/8/2013,11/30/2012
7,Kirk Wise,http://www.imdb.com/name/nm0936374/,1991,Beauty and the Beast,Director,http://www.imdb.com/title/tt0101414/,Beauty and the Beast (3D),http://www.boxofficemojo.com/movies/?id=beautyandthebeast3d.htm,35295,nm0936374,1/13/2012,11/4/2011
8,Gary Trousdale,http://www.imdb.com/name/nm0873779/,1991,Beauty and the Beast,Director,http://www.imdb.com/title/tt0101414/,Beauty and the Beast (3D),http://www.boxofficemojo.com/movies/?id=beautyandthebeast3d.htm,25750,nm0873779,1/13/2012,11/4/2011
9,Steven Spielberg,http://www.imdb.com/name/nm0000229/,1993,Jurassic Park,Director,http://www.imdb.com/title/tt0107290/,Jurassic Park 3D,http://www.boxofficemojo.com/movies/?id=jurassicpark3d.htm,133,nm0000229,4/5/2013,1/25/2013
10,Henry Selick,http://www.imdb.com/name/nm0783139/,1993,The Nightmare Before Christmas,Director,http://www.imdb.com/title/tt0107688/,Tim Burton's The Nightmare Before Christmas in 3-D (2006),http://www.boxofficemojo.com/movies/?id=3d06.htm,14131,nm0783139,10/20/2006,8/11/2006
11,Rob Minkoff,http://www.imdb.com/name/nm0591450/,1994,The Lion King,Director,http://www.imdb.com/title/tt0110357/,The Lion King (in 3D),http://www.boxofficemojo.com/movies/?id=lionking3d.htm,15919,nm0591450,9/16/2011,7/8/2011
12,Roger Allers,http://www.imdb.com/name/nm0021249/,1994,The Lion King,Director,http://www.imdb.com/title/tt0110357/,The Lion King (in 3D),http://www.boxofficemojo.com/movies/?id=lionking3d.htm,23053,nm0021249,9/16/2011,7/8/2011
13,James Cameron,http://www.imdb.com/name/nm0000116/,1997,Titanic,Director,http://www.imdb.com/title/tt0120338/,Titanic 3D,http://www.boxofficemojo.com/movies/?id=titanic3d.htm,515,nm0000116,4/4/2012,1/25/2012
14,Tim Story,http://www.imdb.com/name/nm4588077/,2005,Fantastic Four,Director,http://www.imdb.com/title/tt0120667/,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,3665,nm4588077,7/8/2005,4/29/2005
15,Tim Story,http://www.imdb.com/name/nm1103162/,2005,Fantastic Four,Director,http://www.imdb.com/title/tt0120667/,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,3665,nm1103162,7/8/2005,4/29/2005
16,George Lucas,http://www.imdb.com/name/nm0000184/,1999,Star Wars: Episode I - The Phantom Menace,Director,http://www.imdb.com/title/tt0120915/,Star Wars: Episode I - The Phantom Menace (in 3D),http://www.boxofficemojo.com/movies/?id=starwars3d.htm,1267,nm0000184,2/10/2012,12/2/2011
17,Mike Johnson,http://www.imdb.com/name/nm0425843/,2005,Corpse Bride,Director,http://www.imdb.com/title/tt0121164/,Tim Burton's Corpse Bride,http://www.boxofficemojo.com/movies/?id=corpsebride.htm,9584,nm0425843,9/16/2005,7/8/2005
18,Tim Burton,http://www.imdb.com/name/nm0000318/,2005,Corpse Bride,Director,http://www.imdb.com/title/tt0121164/,Tim Burton's Corpse Bride,http://www.boxofficemojo.com/movies/?id=corpsebride.htm,63,nm0000318,9/16/2005,7/8/2005
19,George Lucas,http://www.imdb.com/name/nm0000184/,2005,Star Wars: Episode III - Revenge of the Sith,Director,http://www.imdb.com/title/tt0121766/,Star Wars: Episode III - Revenge of the Sith,http://www.boxofficemojo.com/movies/?id=starwars3.htm,316,nm0000184,5/19/2005,3/10/2005
20,Guillermo del Toro,http://www.imdb.com/name/nm0868219/,2004,Hellboy,Director,http://www.imdb.com/title/tt0167190/,Hellboy,http://www.boxofficemojo.com/movies/?id=hellboy.htm,2053,nm0868219,4/2/2004,1/23/2004
21,Jonathan Frakes,http://www.imdb.com/name/nm0000408/,2004,Thunderbirds,Director,http://www.imdb.com/title/tt0167456/,Thunderbirds,http://www.boxofficemojo.com/movies/?id=thunderbirds.htm,1722,nm0000408,7/30/2004,5/21/2004
22,Lee Unkrich,http://www.imdb.com/name/nm0881279/,2001,"Monsters, Inc.",Director,http://www.imdb.com/title/tt0198781/,"Monsters, Inc. (3D)",http://www.boxofficemojo.com/movies/?id=monstersinc3d.htm,12755,nm0881279,12/19/2012,10/10/2012
23,Pete Docter,http://www.imdb.com/name/nm0230032/,2001,"Monsters, Inc.",Director,http://www.imdb.com/title/tt0198781/,"Monsters, Inc. (3D)",http://www.boxofficemojo.com/movies/?id=monstersinc3d.htm,12891,nm0230032,12/19/2012,10/10/2012
24,David Silverman,http://www.imdb.com/name/nm0798899/,2001,"Monsters, Inc.",Director,http://www.imdb.com/title/tt0198781/,"Monsters, Inc. (3D)",http://www.boxofficemojo.com/movies/?id=monstersinc3d.htm,25955,nm0798899,12/19/2012,10/10/2012
25,Roger Donaldson,http://www.imdb.com/name/nm0002044/,2008,The Bank Job,Director,http://www.imdb.com/title/tt0200465/,The Bank Job,http://www.boxofficemojo.com/movies/?id=bankjob.htm,8568,nm0002044,3/7/2008,12/28/2007
26,Renny Harlin,http://www.imdb.com/name/nm0001317/,2004,Exorcist: The Beginning,Director,http://www.imdb.com/title/tt0204313/,Exorcist: The Beginning,http://www.boxofficemojo.com/movies/?id=exorcist4.htm,1487,nm0001317,8/20/2004,6/11/2004
27,Alfonso Cuarón,http://www.imdb.com/name/nm0190859/,2006,Children of Men,Director,http://www.imdb.com/title/tt0206634/,Children of Men,http://www.boxofficemojo.com/movies/?id=childrenofmen.htm,1805,nm0190859,12/25/2006,10/16/2006
28,Joby Harold,http://www.imdb.com/name/nm1703612/,2007,Awake,Director,http://www.imdb.com/title/tt0211933/,Awake,http://www.boxofficemojo.com/movies/?id=awake.htm,43360,nm1703612,11/30/2007,9/21/2007
29,Kar-Wai Wong,http://www.imdb.com/name/nm0939182/,2004,2046,Director,http://www.imdb.com/title/tt0212712/,2046,http://www.boxofficemojo.com/movies/?id=2046.htm,1586,nm0939182,8/5/2005,5/27/2005
30,Deepa Mehta,http://www.imdb.com/name/nm0576548/,2005,Water,Director,http://www.imdb.com/title/tt0240200/,Water,http://www.boxofficemojo.com/movies/?id=water06.htm,7936,nm0576548,4/28/2006,2/17/2006
31,Mira Nair,http://www.imdb.com/name/nm0619762/,2004,Vanity Fair,Director,http://www.imdb.com/title/tt0241025/,Vanity Fair,http://www.boxofficemojo.com/movies/?id=vanityfair.htm,3749,nm0619762,9/1/2004,6/23/2004
32,Mike Mitchell,http://www.imdb.com/name/nm0593610/,2004,Surviving Christmas,Director,http://www.imdb.com/title/tt0252028/,Surviving Christmas,http://www.boxofficemojo.com/movies/?id=survivingchristmas.htm,9323,nm0593610,10/22/2004,8/13/2004
33,Wes Craven,http://www.imdb.com/name/nm0000127/,2005,Cursed,Director,http://www.imdb.com/title/tt0257516/,Cursed,http://www.boxofficemojo.com/movies/?id=cursed.htm,1893,nm0000127,2/25/2005,12/17/2004
34,Mark Steven Johnson,http://www.imdb.com/name/nm0425756/,2007,Ghost Rider,Director,http://www.imdb.com/title/tt0259324/,Ghost Rider,http://www.boxofficemojo.com/movies/?id=ghostrider.htm,5881,nm0425756,2/16/2007,12/8/2006
35,Luke Greenfield,http://www.imdb.com/name/nm0339004/,2004,The Girl Next Door,Director,http://www.imdb.com/title/tt0265208/,The Girl Next Door,http://www.boxofficemojo.com/movies/?id=girlnextdoor.htm,5394,nm0339004,4/9/2004,1/30/2004
36,Lee Unkrich,http://www.imdb.com/name/nm0881279/,2003,Finding Nemo,Director,http://www.imdb.com/title/tt0266543/,Finding Nemo (3D),http://www.boxofficemojo.com/movies/?id=findingnemo3d.htm,15484,nm0881279,9/14/2012,7/6/2012
37,Andrew Stanton,http://www.imdb.com/name/nm0004056/,2003,Finding Nemo,Director,http://www.imdb.com/title/tt0266543/,Finding Nemo (3D),http://www.boxofficemojo.com/movies/?id=findingnemo3d.htm,2968,nm0004056,9/14/2012,7/6/2012
38,Barry W. Blaustein,http://www.imdb.com/name/nm0087904/,2005,The Ringer,Director,http://www.imdb.com/title/tt0267891/,The Ringer,http://www.boxofficemojo.com/movies/?id=ringer.htm,20364,nm0087904,12/23/2005,10/14/2005
39,Bob Clark,http://www.imdb.com/name/nm0163706/,2004,Superbabies: Baby Geniuses 2,Director,http://www.imdb.com/title/tt0270846/,Super Babies: Baby Geniuses 2,http://www.boxofficemojo.com/movies/?id=babygeniuses2.htm,7625,nm0163706,8/27/2004,6/18/2004
40,Jaume Balagueró,http://www.imdb.com/name/nm0049371/,2002,Darkness,Director,http://www.imdb.com/title/tt0273517/,Darkness,http://www.boxofficemojo.com/movies/?id=darkness.htm,17972,nm0049371,12/25/2004,10/16/2004
41,Pedro Almodóvar,http://www.imdb.com/name/nm0000264/,2004,Bad Education,Director,http://www.imdb.com/title/tt0275491/,Bad Education,http://www.boxofficemojo.com/movies/?id=badeducation.htm,853,nm0000264,11/19/2004,9/10/2004
42,Leonardo Defilippis,http://www.imdb.com/name/nm0991612/,2004,Thérèse: The Story of Saint Thérèse of Lisieux,Director,http://www.imdb.com/title/tt0286218/,Therese: The Story of Saint Therese of Lisieux,http://www.boxofficemojo.com/movies/?id=therese.htm,63164,nm0991612,10/1/2004,7/23/2004
43,Eric Bress,http://www.imdb.com/name/nm0107774/,2004,The Butterfly Effect,Director,http://www.imdb.com/title/tt0289879/,The Butterfly Effect,http://www.boxofficemojo.com/movies/?id=butterflyeffect.htm,11866,nm0107774,1/23/2004,11/14/2003
44,J. Mackye Gruber,http://www.imdb.com/name/nm0344259/,2004,The Butterfly Effect,Director,http://www.imdb.com/title/tt0289879/,The Butterfly Effect,http://www.boxofficemojo.com/movies/?id=butterflyeffect.htm,13604,nm0344259,1/23/2004,11/14/2003
