,bomfilmtitle,filmimdb,year,notsample,filmrank,castrank,filmrole,actorname,actorimdb,birthyear,gender,race,bomlink,starpower-actor,name_id,bomtitle,releasedate,prior10weeksDate
0,13 Going on 30,http://www.imdb.com/title/tt0337563/,2004,0,4,1,Cast,Jennifer Garner,http://www.imdb.com/name/nm0004950/,1972,f,white,http://www.boxofficemojo.com/movies/?id=13goingon30.htm,27,nm0004950,13 Going on 30,4/23/2004,2/13/2004
1,13 Going on 30,http://www.imdb.com/title/tt0337563/,2004,0,5,2,Cast,Mark Ruffalo,http://www.imdb.com/name/nm0749263/,1967,m,white,http://www.boxofficemojo.com/movies/?id=13goingon30.htm,312,nm0749263,13 Going on 30,4/23/2004,2/13/2004
2,13 Going on 30,http://www.imdb.com/title/tt0337563/,2004,0,6,3,Cast,Judy Greer,http://www.imdb.com/name/nm0339460/,1975,f,white,http://www.boxofficemojo.com/movies/?id=13goingon30.htm,976,nm0339460,13 Going on 30,4/23/2004,2/13/2004
3,13 Going on 30,http://www.imdb.com/title/tt0337563/,2004,0,7,4,Cast,Andy Serkis,http://www.imdb.com/name/nm0785227/,1964,m,white,http://www.boxofficemojo.com/movies/?id=13goingon30.htm,552,nm0785227,13 Going on 30,4/23/2004,2/13/2004
4,13 Going on 30,http://www.imdb.com/title/tt0337563/,2004,0,8,5,Cast,Kathy Baker,http://www.imdb.com/name/nm0000834/,1950,f,white,http://www.boxofficemojo.com/movies/?id=13goingon30.htm,1455,nm0000834,13 Going on 30,4/23/2004,2/13/2004
5,50 First Dates,http://www.imdb.com/title/tt0343660/,2004,0,3,1,Cast,Adam Sandler,http://www.imdb.com/name/nm0001191/,1966,m,white,http://www.boxofficemojo.com/movies/?id=50firstdates.htm,179,nm0001191,50 First Dates,2/13/2004,12/5/2003
6,50 First Dates,http://www.imdb.com/title/tt0343660/,2004,0,4,2,Cast,Drew Barrymore,http://www.imdb.com/name/nm0000106/,1975,f,white,http://www.boxofficemojo.com/movies/?id=50firstdates.htm,117,nm0000106,50 First Dates,2/13/2004,12/5/2003
7,50 First Dates,http://www.imdb.com/title/tt0343660/,2004,0,5,3,Cast,Rob Schneider,http://www.imdb.com/name/nm0001705/,1963,m,white,http://www.boxofficemojo.com/movies/?id=50firstdates.htm,655,nm0001705,50 First Dates,2/13/2004,12/5/2003
8,50 First Dates,http://www.imdb.com/title/tt0343660/,2004,0,6,4,Cast,Sean Astin,http://www.imdb.com/name/nm0000276/,1971,m,white,http://www.boxofficemojo.com/movies/?id=50firstdates.htm,91,nm0000276,50 First Dates,2/13/2004,12/5/2003
9,50 First Dates,http://www.imdb.com/title/tt0343660/,2004,0,7,5,Cast,Lusia Strus,http://www.imdb.com/name/nm0835363/,1969,f,white,http://www.boxofficemojo.com/movies/?id=50firstdates.htm,37037,nm0835363,50 First Dates,2/13/2004,12/5/2003
10,A Cinderella Story,http://www.imdb.com/title/tt0356470/,2004,0,3,1,Cast,Hilary Duff,http://www.imdb.com/name/nm0240381/,1987,f,white,http://www.boxofficemojo.com/movies/?id=cinderellastory.htm,19,nm0240381,A Cinderella Story,7/16/2004,5/7/2004
