,Name,IMDB_link,descriptor1,descriptor2,descriptor3
0,How the Grinch Stole Christmas,https://www.imdb.com/title/tt0170016/,comedy,family,fantasy
1,Mission: Impossible II,https://www.imdb.com/title/tt0120755/,action,adventure,thriller
2,Gladiator,https://www.imdb.com/title/tt0172495/,action,adventure,drama
3,The Perfect Storm,https://www.imdb.com/title/tt0177971/,action,adventure,drama
4,Meet the Parents,https://www.imdb.com/title/tt0212338/,comedy,romance,
5,X-Men,https://www.imdb.com/title/tt0120903/,action,adventure,sci-fi
6,Scary Movie,https://www.imdb.com/title/tt0175142/,comedy,,
7,What Lies Beneath,https://www.imdb.com/title/tt0161081/,drama,fantasy,horror
8,Dinosaur,https://www.imdb.com/title/tt0130623/,animation,adventure,family
9,Erin Brockovich,https://www.imdb.com/title/tt0195685/,biography,drama,
10,Nutty Professor II: The Klumps,https://www.imdb.com/title/tt0144528/,comedy,romance,sci-fi
11,Charlie's Angels,https://www.imdb.com/title/tt5033998/,action,adventure,comedy
12,Big Momma's House,https://www.imdb.com/title/tt0208003/,action,comedy,crime
13,Remember the Titans,https://www.imdb.com/title/tt0210945/,biography,drama,sport
14,The Patriot,https://www.imdb.com/title/tt0187393/,action,drama,history
15,What Women Want,https://www.imdb.com/title/tt0207201/,comedy,fantasy,romance
16,Chicken Run,https://www.imdb.com/title/tt0120630/,animation,adventure,comedy
17,Gone in 60 Seconds,https://www.imdb.com/title/tt0187078/,action,crime,thriller
18,Cast Away,https://www.imdb.com/title/tt0162222/,adventure,drama,romance
19,"Me, Myself & Irene",https://www.imdb.com/title/tt0183505/,comedy,,
20,Space Cowboys,https://www.imdb.com/title/tt0186566/,action,adventure,thriller
21,Scream 3,https://www.imdb.com/title/tt0134084/,horror,mystery,
22,Unbreakable,https://www.imdb.com/title/tt0217869/,drama,mystery,sci-fi
23,U-571,https://www.imdb.com/title/tt0141926/,action,war,
24,Hollow Man,https://www.imdb.com/title/tt0164052/,action,horror,sci-fi
25,Stuart Little,https://www.imdb.com/title/tt0164912/,adventure,comedy,family
26,Shaft,https://www.imdb.com/title/tt4463894/,action,comedy,crime
27,The Green Mile,https://www.imdb.com/title/tt0120689/,crime,drama,fantasy
28,The Kid,https://www.imdb.com/title/tt4975920/,biography,drama,western
29,Rugrats in Paris: The Movie,https://www.imdb.com/title/tt0213203/,animation,adventure,comedy
