year,bomtitle,imdblink,descriptor1,descriptor2,descriptor3
2004,Shrek 2,http://www.imdb.com/title/tt0298148/,animation,adventure,comedy
2004,Spider-Man 2,http://www.imdb.com/title/tt0316654/,action,adventure,sci-fi
2004,The Passion of the Christ,http://www.imdb.com/title/tt0335345/,drama,,
2004,Meet the Fockers,http://www.imdb.com/title/tt0290002/,comedy,romance,
2004,The Incredibles,http://www.imdb.com/title/tt0317705/,animation,action,adventure
2004,Harry Potter and the Prisoner of Azkaban,http://www.imdb.com/title/tt0304141/,adventure,family,fantasy
2004,The Day After Tomorrow,http://www.imdb.com/title/tt0319262/,action,adventure,sci-fi
2004,The Bourne Supremacy,http://www.imdb.com/title/tt0372183/,action,mystery,thriller
2004,National Treasure,http://www.imdb.com/title/tt0368891/,action,adventure,mystery
2004,The Polar Express,http://www.imdb.com/title/tt0338348/,animation,adventure,comedy
2004,Shark Tale,http://www.imdb.com/title/tt0307453/,animation,adventure,comedy
2004,"I, Robot",http://www.imdb.com/title/tt0343818/,action,crime,drama
2004,Troy,http://www.imdb.com/title/tt0332452/,drama,history,
2004,Ocean's Twelve,http://www.imdb.com/title/tt0349903/,crime,thriller,
2004,50 First Dates,http://www.imdb.com/title/tt0343660/,comedy,drama,romance
2004,Van Helsing,http://www.imdb.com/title/tt0338526/,action,adventure,fantasy
2004,Fahrenheit 9/11,http://www.imdb.com/title/tt0361596/,documentary,drama,war
2004,Lemony Snicket's A Series of Unfortunate Events,http://www.imdb.com/title/tt0339291/,adventure,comedy,family
2004,DodgeBall: A True Underdog Story,http://www.imdb.com/title/tt0364725/,comedy,sport,
2004,The Village,http://www.imdb.com/title/tt0368447/,drama,mystery,thriller
2004,The Grudge,http://www.imdb.com/title/tt0391198/,horror,mystery,thriller
2004,The Aviator,http://www.imdb.com/title/tt0338751/,biography,drama,
2004,Collateral,http://www.imdb.com/title/tt0369339/,crime,drama,thriller
2004,Million Dollar Baby,http://www.imdb.com/title/tt0405159/,drama,sport,
2004,The Princess Diaries 2: Royal Engagement,http://www.imdb.com/title/tt0368933/,comedy,family,romance
2004,Starsky and Hutch,http://www.imdb.com/title/tt0335438/,comedy,crime,
2004,Along Came Polly,http://www.imdb.com/title/tt0343135/,comedy,romance,
2004,Mean Girls,http://www.imdb.com/title/tt0377092/,comedy,,
2004,The SpongeBob SquarePants Movie,http://www.imdb.com/title/tt0345950/,animation,adventure,comedy
2004,Anchorman: The Legend of Ron Burgundy,http://www.imdb.com/title/tt0357413/,comedy,,
2004,Scooby-Doo 2: Monsters Unleashed,http://www.imdb.com/title/tt0331632/,adventure,comedy,family
2004,The Notebook,http://www.imdb.com/title/tt0332280/,drama,romance,
2004,Alien Vs. Predator,http://www.imdb.com/title/tt0370263/,action,adventure,horror
2004,Man on Fire,http://www.imdb.com/title/tt0328107/,action,crime,drama
2004,The Terminal,http://www.imdb.com/title/tt0362227/,comedy,drama,romance
2004,Garfield: The Movie,http://www.imdb.com/title/tt0356634/,animation,comedy,family
2004,Ray,http://www.imdb.com/title/tt0350258/,biography,drama,music
2004,Ladder 49,http://www.imdb.com/title/tt0349710/,action,drama,thriller
2004,Christmas with the Kranks,http://www.imdb.com/title/tt0388419/,comedy,family,
2004,Sideways,http://www.imdb.com/title/tt0375063/,comedy,drama,romance
2004,White Chicks,http://www.imdb.com/title/tt0381707/,comedy,crime,
2004,Hidalgo,http://www.imdb.com/title/tt0317648/,action,adventure,biography
2004,The Forgotten,http://www.imdb.com/title/tt0356618/,drama,mystery,sci-fi
2004,Kill Bill Vol. 2,http://www.imdb.com/title/tt0378194/,action,crime,thriller
2004,The Manchurian Candidate,http://www.imdb.com/title/tt0368008/,drama,mystery,sci-fi
2004,Barbershop 2: Back in Business,http://www.imdb.com/title/tt0337579/,comedy,drama,
2004,Miracle,http://www.imdb.com/title/tt0349825/,biography,drama,history
2004,Friday Night Lights,http://www.imdb.com/title/tt0390022/,action,drama,sport
2004,Hellboy,http://www.imdb.com/title/tt0167190/,action,fantasy,horror
2004,The Stepford Wives,http://www.imdb.com/title/tt0327162/,comedy,horror,sci-fi
2004,Dawn of the Dead,http://www.imdb.com/title/tt0363547/,action,horror,
2004,Without a Paddle,http://www.imdb.com/title/tt0364751/,adventure,comedy,mystery
2004,The Butterfly Effect,http://www.imdb.com/title/tt0289879/,drama,sci-fi,thriller
2004,Shall We Dance,http://www.imdb.com/title/tt0358135/,comedy,drama,music
2004,The Chronicles of Riddick,http://www.imdb.com/title/tt0296572/,action,adventure,sci-fi
2004,13 Going on 30,http://www.imdb.com/title/tt0337563/,comedy,fantasy,romance
2004,Saw,http://www.imdb.com/title/tt0387564/,horror,mystery,thriller
2004,Hero,http://www.imdb.com/title/tt0299977/,action,adventure,history
2004,Blade: Trinity,http://www.imdb.com/title/tt0359013/,action,horror,sci-fi
2004,King Arthur,http://www.imdb.com/title/tt0349683/,action,adventure,drama
2004,Finding Neverland,http://www.imdb.com/title/tt0308644/,biography,drama,family
2004,A Cinderella Story,http://www.imdb.com/title/tt0356470/,comedy,family,romance
2004,The Phantom of the Opera,http://www.imdb.com/title/tt0293508/,drama,musical,romance
2004,Resident Evil: Apocalypse,http://www.imdb.com/title/tt0318627/,action,horror,sci-fi
2004,Home on the Range,http://www.imdb.com/title/tt0299172/,animation,adventure,comedy
2004,Fat Albert,http://www.imdb.com/title/tt0396592/,animation,comedy,family
2004,Secret Window,http://www.imdb.com/title/tt0363988/,drama,mystery,thriller
2004,Walking Tall,http://www.imdb.com/title/tt0351977/,action,crime,
2004,In Good Company,http://www.imdb.com/title/tt0385267/,comedy,drama,romance
2004,Napoleon Dynamite,http://www.imdb.com/title/tt0374900/,comedy,,
2004,Spanglish,http://www.imdb.com/title/tt0371246/,comedy,drama,romance
2004,Exorcist: The Beginning,http://www.imdb.com/title/tt0204313/,horror,mystery,thriller
2004,You Got Served,http://www.imdb.com/title/tt0365957/,drama,music,
2004,Bridget Jones: The Edge of Reason,http://www.imdb.com/title/tt0317198/,comedy,drama,romance
2004,Catwoman,http://www.imdb.com/title/tt0327554/,action,crime,fantasy
2004,The Ladykillers,http://www.imdb.com/title/tt0335245/,comedy,crime,thriller
2004,Sky Captain and the World of Tomorrow,http://www.imdb.com/title/tt0346156/,action,adventure,mystery
2004,Raising Helen,http://www.imdb.com/title/tt0350028/,comedy,drama,romance
2004,Taxi,http://www.imdb.com/title/tt0316732/,action,comedy,crime
2004,Eternal Sunshine of the Spotless Mind,http://www.imdb.com/title/tt0338013/,drama,romance,sci-fi
2004,Alexander,http://www.imdb.com/title/tt0346491/,action,biography,drama
2004,Closer,http://www.imdb.com/title/tt0376541/,drama,romance,
2004,The Punisher,http://www.imdb.com/title/tt0330793/,action,crime,drama
2004,Team America: World Police,http://www.imdb.com/title/tt0372588/,action,comedy,
2004,Taking Lives,http://www.imdb.com/title/tt0364045/,crime,mystery,thriller
2004,Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/,action,adventure,horror
2004,Cellular,http://www.imdb.com/title/tt0337921/,action,crime,thriller
2004,Johnson Family Vacation,http://www.imdb.com/title/tt0359517/,comedy,,
2004,Open Water,http://www.imdb.com/title/tt0374102/,adventure,drama,horror
2004,Confessions of a Teenage Drama Queen,http://www.imdb.com/title/tt0361467/,comedy,family,music
2004,After the Sunset,http://www.imdb.com/title/tt0367479/,action,comedy,crime
2004,The Prince and Me,http://www.imdb.com/title/tt0337697/,comedy,family,romance
2004,Garden State,http://www.imdb.com/title/tt0333766/,comedy,drama,romance
2004,Jersey Girl,http://www.imdb.com/title/tt0300051/,comedy,drama,romance
2004,Twisted,http://www.imdb.com/title/tt0315297/,crime,drama,mystery
2004,The Life Aquatic with Steve Zissou,http://www.imdb.com/title/tt0362270/,action,adventure,comedy
2004,Around the World in 80 Days,http://www.imdb.com/title/tt0327437/,action,adventure,comedy
2004,Agent Cody Banks 2: Destination London,http://www.imdb.com/title/tt0358349/,action,adventure,comedy
2004,Hotel Rwanda,http://www.imdb.com/title/tt0395169/,biography,drama,history
