photoimage,actorname,actorimdb,dateofbirth,placeofbirth,minibio,trivia,race,gender,Domestic
,A.R. Murugadoss,http://www.imdb.com/name/nm1436693/,,,,,,,0
,Aanand Rai,http://www.imdb.com/name/nm2399862/,,,,,,,0
,Aaron Schneider,http://www.imdb.com/name/nm0773689/,,,,,,,1
,Aaron Seltzer,http://www.imdb.com/name/nm0783536/,,,,,,,1
,Abbas Alibhai Burmawalla,http://www.imdb.com/name/nm0122216/,,,,,,,0
,Abbas Kiarostami,http://www.imdb.com/name/nm0452102/,,,,,,,0
,Abdellatif Kechiche,http://www.imdb.com/name/nm0444244/,,,,,,,0
,Abhinav Kashyap,http://www.imdb.com/name/nm3508781/,,,,,,,0
,Abhinay Deo,http://www.imdb.com/name/nm3218978/,,,,,,,0
,Abhishek Varman,http://www.imdb.com/name/nm2831530/,,,,,,,0
,Adam Brooks,http://www.imdb.com/name/nm0111845/,,,,,,,1
,Adam Chapman,http://www.imdb.com/name/nm7920865/,,,,,,,1
,Adam Del Deo,http://www.imdb.com/name/nm0215534/,,,,,,,1
,Adam McKay,http://www.imdb.com/name/nm0570912/,,,,,,,1
,Adam Shankman,http://www.imdb.com/name/nm0788202/,,,,,,,1
,Adam Wingard,http://www.imdb.com/name/nm1417392/,,,,,,,1
,Adrienne Shelly,http://www.imdb.com/name/nm0791248/,,,,,,,1
,Agn¨¨s Jaoui,http://www.imdb.com/name/nm0418450/,,,,,,,0
,Akiva Goldsman,http://www.imdb.com/name/nm0326040/,,,,,,,1
,Akiva Schaffer,http://www.imdb.com/name/nm1676223/,,,,,,,1
,Alain Desrochers,http://www.imdb.com/name/nm0221662/,,,,,,,0
,Alan Poul,http://www.imdb.com/name/nm0693561/,,,,,,,1
,Alan Taylor,http://www.imdb.com/name/nm0851930/,,,,,,,1
,Alastair Fothergill,http://www.imdb.com/name/nm0288144/,,,,,,,1
,Albert Hughes,http://www.imdb.com/name/nm0400436/,,,,,,,1
,Alejandro Agresti,http://www.imdb.com/name/nm0002159/,,,,,,,1
,Alejandro Amen¨¢bar,http://www.imdb.com/name/nm0024622/,,,,,,,0
,Alejandro Chomski,http://www.imdb.com/name/nm1145057/,,,,,,,1
,Alejandro G. I?¨¢rritu,http://www.imdb.com/name/nm0327944/,,,,,,,1
,Alejandro Monteverde,http://www.imdb.com/name/nm1920049/,,,,,,,1
,Alejandro Springall,http://www.imdb.com/name/nm0819702/,,,,,,,0
,Aleksander Bach,http://www.imdb.com/name/nm5507490/,,,,,,,1
,Alex Garland,http://www.imdb.com/name/nm0307497/,,,,,,,0
,Alex Gibney,http://www.imdb.com/name/nm0316795/,,,,,,,1
,Alex Kendrick,http://www.imdb.com/name/nm1731937/,,,,,,,1
,Alex Kurtzman,http://www.imdb.com/name/nm0476064/,,,,,,,1
,Alex Proyas,http://www.imdb.com/name/nm0001639/,,,,,,,1
,Alexander Payne,http://www.imdb.com/name/nm0668247/,,,,,,,1
,Alexander Witt,http://www.imdb.com/name/nm0936838/,,,,,,,0
,Alexandre Aja,http://www.imdb.com/name/nm0014960/,,,,,,,1
,Alfonso Cuar¨®n,http://www.imdb.com/name/nm0190859/,,,,,,,1
,Alfonso Gomez-Rejon,http://www.imdb.com/name/nm0004234/,,,,,,,1
,Alfredo Rodriguez de Villa,http://www.imdb.com/name/nm0212137/,,,,,,,1
,Alister Grierson,http://www.imdb.com/name/nm0340958/,,,,,,,1
,Allen Coulter,http://www.imdb.com/name/nm0002339/,,,,,,,1
,Allen Hughes,http://www.imdb.com/name/nm0400441/,,,,,,,1
,Amma Asante,http://www.imdb.com/name/nm1392994/,,,,,,,0
,Amol Palekar,http://www.imdb.com/name/nm0657505/,,,,,,,0
,Anand Tucker,http://www.imdb.com/name/nm0875793/,,,,,,,1
,Andrew Adamson,http://www.imdb.com/name/nm0011470/,,,,,,,1
,Andrew Davis,http://www.imdb.com/name/nm0001112/,,,,,,,1
,Andrew Dominik,http://www.imdb.com/name/nm0231596/,,,,,,,1
,Andrew Douglas,http://www.imdb.com/name/nm1497918/,,,,,,,1
,Andrew Erwin,http://www.imdb.com/name/nm3401779/,,,,,,,1
,Andrew Fleming,http://www.imdb.com/name/nm0281598/,,,,,,,1
,Andrew Haigh,http://www.imdb.com/name/nm0354091/,,,,,,,0
,Andrew Niccol,http://www.imdb.com/name/nm0629272/,,,,,,,1
,Andrew Stanton,http://www.imdb.com/name/nm0004056/,,,,,,,1
,Andrzej Bartkowiak,http://www.imdb.com/name/nm0005647/,,,,,,,1
,Andr¨¦ Ducharme,http://www.imdb.com/name/nm0239788/,,,,,,,0
,Andr¨¦s Muschietti,http://www.imdb.com/name/nm0615592/,,,,,,,0
,Andy Cadiff,http://www.imdb.com/name/nm0128225/,,,,,,,1
,Andy Cheng,http://www.imdb.com/name/nm0155536/,,,,,,,1
,Andy Fickman,http://www.imdb.com/name/nm0275698/,,,,,,,1
,Andy Tennant,http://www.imdb.com/name/nm0855035/,,,,,,,1
,Anees Bazmee,http://www.imdb.com/name/nm0063357/,,,,,,,0
,Ang Lee,http://www.imdb.com/name/nm0000487/,,,,,,,1
,Angel Gracia,http://www.imdb.com/name/nm0333471/,,,,,,,1
,Angela Robinson,http://www.imdb.com/name/nm1286340/,,,,,,,1
,Angelina Jolie Pitt,http://www.imdb.com/name/nm0001401/,,,,,,,1
,Angelo Pizzo,http://www.imdb.com/name/nm0686233/,,,,,,,1
,Anna Boden,http://www.imdb.com/name/nm1349818/,,,,,,,1
,Anne Fletcher,http://www.imdb.com/name/nm0281945/,,,,,,,1
,Anne Fontaine,http://www.imdb.com/name/nm0284774/,,,,,,,0
,Anne Sundberg,http://www.imdb.com/name/nm0839064/,,,,,,,1
,Anthony Bell,http://www.imdb.com/name/nm0068034/,,,,,,,1
,Anthony Geffen,http://www.imdb.com/name/nm0311687/,,,,,,,1
,Anthony Hemingway,http://www.imdb.com/name/nm0376006/,,,,,,,1
,Anthony Leondis,http://www.imdb.com/name/nm1902232/,,,,,,,0
,Anthony Russo,http://www.imdb.com/name/nm0751577/,,,,,,,1
,Anthony Stacchi,http://www.imdb.com/name/nm0820934/,,,,,,,1
,Antoine Fuqua,http://www.imdb.com/name/nm0298807/,,,,,,,1
,Anton Corbijn,http://www.imdb.com/name/nm0179221/,,,,,,,1
,Anubhav Sinha,http://www.imdb.com/name/nm1025280/,,,,,,,1
,Anurag Basu,http://www.imdb.com/name/nm1397301/,,,,,,,0
,Arbaaz Khan,http://www.imdb.com/name/nm0451170/,,,,,,,0
,Ari Folman,http://www.imdb.com/name/nm0284369/,,,,,,,0
,Ari Sandel,http://www.imdb.com/name/nm1847738/,,,,,,,1
,Ariel Schulman,http://www.imdb.com/name/nm1413364/,,,,,,,1
,Ariel Vromen,http://www.imdb.com/name/nm1033517/,,,,,,,1
,Aristomenis Tsirbas,http://www.imdb.com/name/nm0875056/,,,,,,,1
,Armando Iannucci,http://www.imdb.com/name/nm0406334/,,,,,,,0
,Asger Leth,http://www.imdb.com/name/nm1300606/,,,,,,,1
,Asghar Farhadi,http://www.imdb.com/name/nm1410815/,,,,,,,0
,Ash Brannon,http://www.imdb.com/name/nm0105169/,,,,,,,1
,Ashutosh Gowariker,http://www.imdb.com/name/nm0332950/,,,,,,,0
,Asif Kapadia,http://www.imdb.com/name/nm0438090/,,,,,,,1
,Atom Egoyan,http://www.imdb.com/name/nm0000382/,,,,,,,1
