,year,imdbcrewcastlink,imdbfilmtitle,imdbfilmlink,bomtitle,bomlink,descriptor1,descriptor2,descriptor3,NumOwnFilms(past five years),NumOfTwoCommonCategoriesOwnFilms(past five years),NumFeatureMovies(past five years),NumCommonFeatureMovies(past five years)
0,2005,http://www.imdb.com/name/nm4588077/,Fantastic Four,http://www.imdb.com/title/tt0120667/,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,action,adventure,fantasy,3,1,18909.0,290.0
1,2005,http://www.imdb.com/name/nm1103162/,Fantastic Four,http://www.imdb.com/title/tt0120667/,Fantastic Four (2005),http://www.boxofficemojo.com/movies/?id=fantasticfour.htm,action,adventure,fantasy,3,1,18909.0,290.0
2,2005,http://www.imdb.com/name/nm0425843/,Corpse Bride,http://www.imdb.com/title/tt0121164/,Tim Burton's Corpse Bride,http://www.boxofficemojo.com/movies/?id=corpsebride.htm,animation,drama,family,1,1,18909.0,23.0
3,2005,http://www.imdb.com/name/nm0000318/,Corpse Bride,http://www.imdb.com/title/tt0121164/,Tim Burton's Corpse Bride,http://www.boxofficemojo.com/movies/?id=corpsebride.htm,animation,drama,family,4,1,18909.0,23.0
4,2005,http://www.imdb.com/name/nm0000184/,Star Wars: Episode III - Revenge of the Sith,http://www.imdb.com/title/tt0121766/,Star Wars: Episode III - Revenge of the Sith,http://www.boxofficemojo.com/movies/?id=starwars3.htm,action,adventure,fantasy,2,2,18909.0,290.0
5,2004,http://www.imdb.com/name/nm0868219/,Hellboy,http://www.imdb.com/title/tt0167190/,Hellboy,http://www.boxofficemojo.com/movies/?id=hellboy.htm,action,adventure,fantasy,3,1,17593.0,279.0
6,2004,http://www.imdb.com/name/nm0000408/,Thunderbirds,http://www.imdb.com/title/tt0167456/,Thunderbirds,http://www.boxofficemojo.com/movies/?id=thunderbirds.htm,action,adventure,comedy,5,2,17593.0,279.0
7,2008,http://www.imdb.com/name/nm0002044/,The Bank Job,http://www.imdb.com/title/tt0200465/,The Bank Job,http://www.boxofficemojo.com/movies/?id=bankjob.htm,crime,thriller,,2,1,24320.0,65.0
8,2004,http://www.imdb.com/name/nm0001317/,Exorcist: The Beginning,http://www.imdb.com/title/tt0204313/,Exorcist: The Beginning,http://www.boxofficemojo.com/movies/?id=exorcist4.htm,horror,mystery,thriller,4,2,17593.0,88.0
9,2006,http://www.imdb.com/name/nm0190859/,Children of Men,http://www.imdb.com/title/tt0206634/,Children of Men,http://www.boxofficemojo.com/movies/?id=childrenofmen.htm,drama,thriller,,3,1,20423.0,240.0
